Parent Teacher Conference Attendance
School Name,Accountability Year,Parent/ Teacher Conference Attendance
Hickey ES,2022,75
Hill ES,2024,92
Hill ES,2023,96
Hill ES,2022,96
Hinman ES,2024,75
Hinman ES,2023,71
Hinman ES,2022,93
Hoggard ES,2024,96
Hoggard ES,2023,98
Hoggard ES,2022,90
Hollingsworth ES,2024,95
Hollingsworth ES,2023,92
Hollingsworth ES,2022,100
Hummel ES,2024,87
Hummel ES,2023,97
Hyde Park MS,2022,20
Indian Springs ES,2024,97
Indian Springs ES,2023,96
Indian Springs ES,2022,80
Indian Springs MS,2022,20
Innovations International ES,2024,94
Innovations International ES,2023,97
Innovations International ES,2022,97
Iverson ES,2024,94
Iverson ES,2023,95
Iverson ES,2022,92
Jacobson ES,2024,70
Jacobson ES,2023,96
Jacobson ES,2022,93
Jeffers ES,2024,92
Jeffers ES,2023,80
Jeffers ES,2022,97
"Jenkins, Earl N ES",2024,99
"Jenkins, Earl N ES",2023,100
"Jenkins, Earl N ES",2022,99.6
Jydstrup ES,2024,96
Jydstrup ES,2023,94
Jydstrup ES,2022,95
Kahre ES,2024,97
Kahre ES,2023,96
Kahre ES,2022,96
Katz ES,2024,99
Katz ES,2023,99
Katz ES,2022,98
Keller ES,2024,96
Keller ES,2023,89
Keller ES,2022,96
Kelly ES,2024,73
Kelly ES,2023,62
Kelly ES,2022,18
Kenneth Divich Elementary,2024,95
Kenneth Divich Elementary,2023,96
Kenneth Divich Elementary,2022,95
Kesterson ES,2024,93
Kesterson ES,2023,97
Kesterson ES,2022,96
Kim ES,2024,93
Kim ES,2023,92
Kim ES,2022,97
King (Martha) ES,2024,97
King (Martha) ES,2023,97
King (Martha) ES,2022,97
King (Martin Luther Jr) ES,2024,93
King (Martin Luther Jr) ES,2023,89
King (Martin Luther Jr) ES,2022,94
Lake ES,2024,81
Lake ES,2023,77
Lake ES,2022,83
Lamping ES,2024,90
Lamping ES,2023,82
Lamping ES,2022,100
Lincoln ES,2024,95
Lincoln ES,2023,94
Lincoln ES,2022,97
