Twitchell ES,13.6
Ullom ES,29.4
Valley HS,28.7
Vanderburg ES,13.8
Variety ES,70.2
Variety SEC,28.2
Vassiliadis ES,9
Vegas Verdes ES,24.2
Virgin Valley ES,12.1
Virgin Valley HS,11.9
Von Tobel MS,36.8
VT CTA,5
Walker International ES,13.6
Wallin ES,15
Ward (Gene) ES,31.8
Ward (Kitty) ES,14.4
Warren ES,20
Wasden ES,38
Watson ES,24.7
Webb MS,14.2
Wengert ES,24.9
West CTA,1
West Prep ES,10.7
West Prep Sec,27.3
Western HS,30.8
White MS,4.6
Whitney ES,50.2
Wiener ES,37.2
Wilhelm ES,31.1
Williams (Tom) ES,21.3
Williams (Wendell) ES,42.8
Wolfe (Eva) ES,22.4
Wolff (Elise) ES,13.9
Woodbury MS,31.8
Woolley ES,25.2
Wright ES,29.4
Wynn ES,31.1
